Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,Wii,2006,Sports,Nintendo,41.36,28.96,3.77,8.45,82.53,76,51,8,322,Nintendo,E
Mario Kart Wii,Wii,2008,Racing,Nintendo,15.68,12.76,3.79,3.29,35.52,82,73,8.3,709,Nintendo,E
Wii Sports Resort,Wii,2009,Sports,Nintendo,15.61,10.93,3.28,2.95,32.77,80,73,8,192,Nintendo,E
New Super Mario Bros.,DS,2006,Platform,Nintendo,11.28,9.14,6.5,2.88,29.8,89,65,8.5,431,Nintendo,E
Wii Play,Wii,2006,Misc,Nintendo,13.96,9.18,2.93,2.84,28.92,58,41,6.6,129,Nintendo,E
New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.44,6.94,4.7,2.24,28.32,87,80,8.4,594,Nintendo,E
Mario Kart DS,DS,2005,Racing,Nintendo,9.71,7.47,4.13,1.9,23.21,91,64,8.6,464,Nintendo,E
Wii Fit,Wii,2007,Sports,Nintendo,8.92,8.03,3.6,2.15,22.7,80,63,7.7,146,Nintendo,E
Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,15,4.89,0.24,1.69,21.81,61,45,6.3,106,Good Science Studio,E
Wii Fit Plus,Wii,2009,Sports,Nintendo,9.01,8.49,2.53,1.77,21.79,80,33,7.4,52,Nintendo,E
Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,50,8.2,3994,Rockstar North,M
Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,95,80,9,1588,Rockstar North,M
Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.74,9.2,4.16,2.04,20.15,77,58,7.9,50,Nintendo,E
Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97,58,8.1,3711,Rockstar North,M
Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,95,62,8.7,730,Rockstar North,M
Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.43,5.35,5.32,1.18,15.29,77,37,7.1,19,Nintendo,E
Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95,54,8.4,314,Polyphony Digital,E
Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.04,4.24,0.13,1.32,14.73,88,81,3.4,8713,"Infinity Ward, Sledgehammer Games",M
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.73,0.65,2.42,13.79,83,21,5.3,922,Treyarch,M
Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.24,0.07,1.12,13.67,83,73,4.8,2256,Treyarch,M
Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.59,0.08,1.28,13.47,94,100,6.3,2698,Infinity Ward,M
Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.73,0.49,1.57,13.32,88,39,3.2,5234,"Infinity Ward, Sledgehammer Games",M
Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97,56,8.5,664,DMA Design,M
Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.62,2.55,2.66,1.01,12.84,93,81,8.9,1662,Game Arts,T
Mario Kart 7,3DS,2011,Racing,Nintendo,5.03,4.02,2.69,0.91,12.66,85,73,8.2,632,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.99,4.37,0.48,1.79,12.63,88,58,6.4,1094,Treyarch,M
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97,66,8.3,2899,Rockstar North,M
Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.5,3.45,5.33,0.86,12.13,86,57,8.7,242,Nintendo,E
Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.81,0.13,1.21,12.12,94,86,7.8,4100,"Bungie Software, Bungie",M
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98,86,7.9,2951,Rockstar North,M
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,16,8.7,138,Polyphony Digital,E
Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,3,2.14,0.78,10.81,90,82,8.4,921,Nintendo,E
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.82,0.81,2.11,10.7,84,82,7.5,1112,Polyphony Digital,E
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.64,0.38,1.6,10.6,94,67,6.3,2073,Infinity Ward,M
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.04,1.95,0.08,0.79,9.86,91,99,7.9,2045,Bungie,M
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92,20,9.2,1282,SquareSoft,T
Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.65,2.28,0.04,0.74,9.71,87,87,7,3260,343 Industries,M
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93,23,9,135,Polyphony Digital,T
Just Dance 2,Wii,2010,Misc,Ubisoft,5.8,2.85,0.01,0.78,9.44,74,24,7.3,24,Ubisoft,E10+
Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.1,3.63,0.38,1.25,9.36,71,10,2.6,1047,Infinity Ward,M
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.93,2.36,0.13,0.9,9.31,94,70,8.4,1320,Infinity Ward,M
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,Nintendo,E
Mario Party DS,DS,2007,Misc,Nintendo,4.4,1.85,1.98,0.68,8.91,72,27,7.8,85,Hudson Soft,E
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96,89,8.4,3589,Bethesda Game Studios,M
FIFA 16,PS4,2015,Sports,Electronic Arts,1.12,6.12,0.06,1.28,8.57,82,42,4.3,896,EA Sports,E
